hed,dek,topic,outlet,date,link,ffaar,science,urbanism,meat-less,environment,culture,ideas,books,policy,featured
hed,dek,topic,outlet,date,link,"factory farming, animals, & animal rights",science,building better communities,"meat, food, & health",environment,culture,ideas,books,politics & policy,featured
One good thing the Trump administration might actually do for science,A primate research center could become a sanctuary as the NIH pushes to move biomedical research beyond animal testing.,,Vox,d:2026-02-13,https://www.vox.com/future-perfect/479043/nih-ohsu-primate-research-center-sanctuary,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
How to raise a low-income kid’s future earnings by 50 percent,The surprising impact of better-designed public housing.,,Vox,d:2026-02-06,https://www.vox.com/future-perfect/478064/public-housing-projects-hope-vi-cities-chetty,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
The hidden double standards driving our housing crisis,Apartments are safer and more affordable than single-family homes. Why do we treat them like a hazard?,,Vox,d:2026-02-04,https://www.vox.com/future-perfect/476647/housing-crisis-affordability-building-codes-yimby,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Can America build beautiful places again?,Ugliness has more to do with the housing crisis than you think.,,Vox,d:2026-01-20,https://www.vox.com/future-perfect/475362/yimby-movement-housing-abundance-beauty-aesthetics,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
The new food pyramid is lying to you,It's also a contradictory mess.,,Vox,d:2026-01-09,https://www.vox.com/future-perfect/474554/food-pyramid-dietary-guidelines-maha-protein,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
We need to grow the economy. We need to stop torching the planet. Here’s how we do both.,Let’s fix the two massive efficiency sinks in American life.,,Vox,d:2025-12,https://www.vox.com/future-perfect/472664/decoupling-abundance-growth-meat-cars,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
The surprisingly profound debate over whether fish feel pain,We can never proove that other animals are conscious. What do we do with that?,,Vox,d:2025-11,https://www.vox.com/future-perfect/469054/fish-pain-debate-sentience-consciousness,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
We love dogs as family. We also experiment on them. When will it come to an end?,The secretive dog experimentation industry is starting to crumble.,,Vox,d:2025-11,https://www.vox.com/future-perfect/466909/dog-experiments-beagles-ridglan-envigo-closing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
How soybeans took over America — and the world,"This technology could feed a world of 10 billion. We’re squandering it, and the trade war with China could make it worse.",,Vox,d:2025-10,https://www.vox.com/future-perfect/464898/trump-tariffs-china-trade-war-soybeans-exports,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Jane Goodall’s most radical message was not about saving the planet,"The conservationist used her stature to advocate for one of the most important, yet unpopular, causes in the world.",,Vox,d:2025-10,https://www.vox.com/future-perfect/463524/jane-goodall-animal-rights-experimentation-veganism-factory-farming,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
The brutal trade-off that will decide the future of food,A growing number of thinkers say factory farming can help save the planet. Are they right?,,Vox,d:2025-08,https://www.vox.com/future-perfect/422708/future-of-food-abundance-factory-farming-grunwald,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
America’s fastest-growing suburbs are about to get very expensive,Sprawl made suburbia affordable. Now it’s breaking it. Here’s what a new vision of the suburbs could look like.,,Vox,d:2025-07,https://www.vox.com/future-perfect/417892/suburbs-sunbelt-housing-affordability-yimby,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
The one thing the Trump administration got very right,Too bad it's now sabatoging it.,,Vox,d:2025-06,https://www.vox.com/future-perfect/403444/dairy-industry-cow-life-milk-america,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
You’re being lied to about protein,"Yes, protein builds muscle. No, you don’t need as much as lifting influencers say.",,Vox,d:2025-05,https://www.vox.com/future-perfect/410565/protein-muscle-gain-weightlifting-plant-based-vegan,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
The life of a dairy cow,The surprising truth about milk is hiding in plain sight.,,Vox,d:2025-04,https://www.vox.com/future-perfect/403444/dairy-industry-cow-life-milk-america,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
These fluffy white wolves explain everything wrong with bringing back extinct animals,Don’t buy the hype about “de-extinction.”,,Vox,d:2025-04,https://www.vox.com/future-perfect/407781/dire-wolves-deextinction-colossal-biosciences,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Americans are drinking more cow’s milk. Here’s why that’s a problem.,"For years, dairy milk was plummeting. The vibe shift — and America’s protein obsession — is bringing it back.",,Vox,d:2025-03,https://www.vox.com/future-perfect/402717/cow-milk-increase-america-dairy-plant-milks,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
You’re being lied to about “ultra-processed” foods,"Coverage of the latest nutrition buzzword is overly broad, arbitrary, and wildly misleading. The problem goes deeper.",,Vox,d:2024-12,https://www.vox.com/future-perfect/391795/ultra-processed-foods-science-vegan-meat-rfk-maha,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
8 million turkeys will be thrown in the trash this Thanksgiving,"We don’t have to accept all that death and waste for a dry, flavorless bird no one likes.",,Vox,d:2024-11,https://www.vox.com/future-perfect/388106/thanksgiving-turkey-food-waste-sides-dry-bland,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Starbucks won’t charge extra for plant-based milk. Other companies should follow.,It’s a big deal for the climate — and for the coffee industry at large.,,Vox,d:2024-11,https://www.vox.com/future-perfect/381551/starbucks-dropping-plant-milk-upcharge-vegan-tax,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
These California and Colorado ballot measures are terrifying the meat industry,"In Sonoma County and Denver, activists are putting animal welfare on the ballot.",,Vox,d:2024-10,https://www.vox.com/future-perfect/377096/sonoma-county-denver-factory-farming-slaughterhouse-ban-ballot-measures,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
How Factory Farming Ends,I brought together 10 writers & thinkers for this collection of stories on the past and future of the fight against one of the great moral calamaties of our time.,,Vox,d:2024-08,https://www.vox.com/future-perfect/364288/how-factory-farming-ends-animal-rights-vegans-climate-ethics,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Humanity is failing one of its greatest moral tests,"The long, maddening, glorious, vital fight against factory farming.",,Vox,d:2024-08,https://www.vox.com/future-perfect/363550/factory-farming-human-progress-sustainable-food-movement,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Republicans want to put pigs back in tiny cages. Again.,House Republicans are working to make America’s factory farms even crueler.,,Vox,d:2024-06,https://www.vox.com/future-perfect/353393/farm-bill-republicans-prop-12-gestation-crates-pork,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I gave up meat and gained so much more,The delightful abundance of going vegan (comic illustrated by the wonderful Christine Mi).,,Vox,d:2024-04,https://www.vox.com/climate/24131229/vegan-vegetarian-meatless-climate-solutions-recipes-connection,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"The dairy industry really, really doesn’t want you to say “bird flu in cows”",How industrial meat and dairy trap us in an infectious disease cycle.,,Vox,d:2024-04,https://www.vox.com/future-perfect/24128700/bird-fludairy-meat-industry-h5n1-cows-milk-eggs-safety,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mega drive-throughs explain everything wrong with American cities,They’re great for the fast food industry — but not so great for us.,,Vox,d:2024-04,https://www.vox.com/the-highlight/24089853/mega-drive-throughs-cities-chick-fil-a-chipotle,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
9 charts that show US factory farming is even bigger than you realize,Factory farms are now so big that we need a new word for them (with Kenny Torella).,,Vox,d:2024-02,https://www.vox.com/future-perfect/24079424/factory-farming-facts-meat-usda-agriculture-census,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"The greenwashing of wool, explained",Big Wool wants you to believe it’s nice to animals and the environment. It’s not.,,Vox,d:2023-12,https://www.vox.com/future-perfect/24008053/wool-marketing-environment-sustainable-claims-sheep-animal-cruelty-fast-fashion,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Bird flu is surging again on poultry farms. The US is normalizing the cruelest mass killing method to stop it.,"We failed to prepare, and now animals are paying the price.",,Vox,d:2023-12,https://www.vox.com/future-perfect/23963820/bird-flu-surge-us-ventilation-shutdown-veterinarians,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
You’re more likely to go to prison for exposing animal cruelty than for committing it,California could send a man to prison for 3.5 years for rescuing factory-farmed animals. Where does the movement go from here?,,Vox,d:2023-11,https://www.vox.com/future-perfect/23952627/wayne-hsiung-conviction-direct-action-everywhere-dxe-rescue-sonoma-county-chickens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
How cars ruin wild animals’ lives,"If you love nature, consider not driving in it.",,Vox,d:2023-09,https://www.vox.com/future-perfect/23868483/cars-roads-roadkill-crossing-goldfarb-national-parks,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
What if AI treats humans the way we treat animals?,The dehumanizing philosophy of AI is built on a hatred of our animal nature.,,Vox,d:2023-08,https://www.vox.com/the-highlight/23777171/ai-animals-rights-cruelty-transhumanism-bostrom,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
America has the world’s safest air travel but sucks so bad at car safety,Three things the US can learn about road safety from our ultra-safe air travel system.,,Vox,d:2023-08,https://www.vox.com/future-perfect/2023/8/25/23844717/america-safe-air-travel-car-safety-accidents,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Undercover audio of a Tyson employee reveals “free-range” chicken is meaningless,Why you shouldn’t believe what’s on your chicken label (with Kenny Torella).,,Vox,d:2023-08,https://www.vox.com/future-perfect/23724740/tyson-chicken-free-range-humanewashing-investigation-animal-cruelty,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
What’s worse than a cruel animal experiment? A cruel and fake animal experiment.,Raising the consequences for animal testing experiments gone wrong.,,Vox,d:2023-07,https://www.vox.com/future-perfect/2023/7/14/23794186/animal-testing-experiments-vivisection-academic-fraud-dishonesty-research,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"A fire killed 18,000 cows in Texas. It’s a horrifyingly normal disaster.","Factory farming’s disaster problem, explained (with Kenny Torella & Julieta Cardenas).",,Vox,d:2023-04,https://www.vox.com/future-perfect/23683141/texas-farm-fire-explosion-dimmitt-cows-factory-dairy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
The fight against factory farming is winning criminal trials,Why it's such a big deal that juries are siding with activists who rescue animals from factory farms.,,Vox,d:2023-03,https://www.vox.com/future-perfect/23647682/factory-farming-dxe-criminal-trial-rescue,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Eggs are expensive for all the wrong reasons,Eggs should not be cheap.,,Vox,d:2023-02,https://www.vox.com/future-perfect/23588340/egg-prices-expensive-bird-flu-shortage-price-gouging,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
The bitter civil war dividing American veterinarians,"To fight the cruel meat industry, veterinarians have to fight their own profession.",,Vox,d:2023-01,https://www.vox.com/future-perfect/23516639/veterinarians-avma-factory-farming-ventilation-shutdown,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Cory Booker has a plan to stop taxpayer bailouts of Big Meat,A Vox exclusive by me and Kenny Torrella on a sweeping new meat industry reform package from Sen. Cory Booker.,,Vox,d:2022-11,https://www.vox.com/future-perfect/2022/11/22/23471771/cory-booker-meat-farming-industrial-agriculture-accountability-act,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
U.S. farms lobby to use “cruelest” kill method as bird flu rages,The meat industry wants to make it easier to use the worst mass cull methods.,,The Guardian,d:2022-11,https://www.theguardian.com/environment/2022/nov/09/us-farms-lobby-to-use-cruellest-killing-method-as-bird-flu-rages,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Activists Acquitted in Trial for Taking Piglets from Smithfield Foods,"Covering this historic trial of two activists who rescued piglets from a Smithfield Foods factory farm, and its incredible surprise outcome, was one of the most memorable experiences of my life.",,The Intercept,d:2022-10,https://theintercept.com/2022/10/08/smithfield-animal-rights-piglets-trial/,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U.S. Supreme Court to hear case on California's ban on extreme confinement crates,"How the Supreme Court could put climate, public health, and animal welfare regulations across the country on the chopping block.",,The Guardian,d:2022-10,https://www.theguardian.com/environment/2022/oct/03/supreme-court-proposition-12-pig-gestation-crates-california-animal-welfare-law,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
How U.S. dietary guidelines ignore the climate crisis,On the push to include sustainability in the U.S. dietary guidelines — which are more influential than you might think.,,The Guardian,d:2022-08,https://www.theguardian.com/environment/2022/aug/26/usda-diet-guide-myplate-climate-crisis,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
“Forget They Are an Animal”,What an obscure 1970s-era pork industry journal can tell us about animal agriculture.,,Current Affairs,d:2022-08,https://www.currentaffairs.org/2022/08/forget-they-are-an-animal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
What this Mother Jones story got wrong on primate testing,A little commentary on why media gets primate experimentation so wrong.,,Sentient Media,d:2022-08,https://sentientmedia.org/mother-jones-primate-testing-story/,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Millions of birds culled in “the most inhumane way available”,How cooking animals to death became meat industry standard.,,The Guardian,d:2022-06,https://www.theguardian.com/environment/2022/jun/06/us-bird-flu-outbreak-millions-of-birds-culled-in-most-inhumane-way-available,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Will New York City’s foie gras ban make a difference?,"NYC is set to ban foie gras, a food that's been called “the Abu Ghraib of poultry dishes.” Is it really any worse than factory farmed meat?",,Grid,d:2022-06,files/grid-foie-gras.pdf,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"In the age of social media blasts, what’s the point of letters to the editor?",On what happens when we allow a beloved old form to be swallowed up by the social media firehose.,,Poynter,d:2022-05,https://www.poynter.org/ethics-trust/2022/in-the-age-of-social-media-blasts-whats-the-point-of-letters-to-the-editor/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Amid Bird Flu Outbreak, Meat Producers Seek “Ventilation Shutdown” for Mass Chicken Killing","How gruesome, industry-funded experiments at a public university laid the foundation for a method now being used to mass exterminate farmed birds by heating them to death.",,The Intercept,d:2022-04,https://theintercept.com/2022/04/14/killing-chickens-bird-flu-vsd/,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Utah Bill Seeks to Restrict Regulation of Animal Industries,"In which Utah legislators tried to restrict cities from regulating “animal enterprises” like factory farms & puppy mills, and lied to their constituents about it.",,The Intercept,d:2022-03,https://theintercept.com/2022/03/02/utah-animal-industry-regulation-cafo-puppy-mills/,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
“They're cooking them alive”: calls to ban cruel killing methods on US farms,"On some of the methods used to mass kill farm animals (including, yes, cooking them to death).",,The Guardian,d:2022-03,https://www.theguardian.com/environment/2022/mar/08/theyre-cooking-them-alive-calls-to-ban-cruel-killing-methods-on-us-farms,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Why the anti-Factory Farming Movement Needs Direct Action,"Direct action is often maligned by people who don’t know anything about it, but it’s actually one of the credible sources there is on factory farming.",,Current Affairs,d:2022-03,https://www.currentaffairs.org/news/2022/03/why-the-anti-factory-farming-movement-needs-direct-action,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Five things to know about the SCOTUS challenge to California’s ban on extreme farm animal confinement,On the U.S. Supreme Court’s surprising decision to take up the pork industry’s lawsuit against the country’s strongest farm animal protection law.,,The Counter,d:2022-03,https://thecounter.org/california-proposition-12-animal-welfare-supreme-court/,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
An animal rights activist was in court on criminal charges. Why was the case suddenly dismissed?,The story of an activist who faced eight years in prison for one of the most important factory farm investigations in recent history.,,The Guardian,d:2022-01,https://www.theguardian.com/world/2022/jan/22/an-animal-rights-activist-was-in-court-on-criminal-charges-why-was-the-case-suddenly-dismissed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"For These Wisconsin Farms, Animals Are Off the Table",A story on the rural Wisconsinites providing refuge to animals saved from slaughter.,,In These Times,d:2021-12,https://inthesetimes.com/article/rural-wisconsin-farm-sanctuary-animal-rights,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Case Against the Concept of Invasive Species,And why some scientists and environmental philosophers are rethinking it.,,Vox,d:2021-11,https://www.vox.com/down-to-earth/22796160/invasive-species-climate-change-range-shifting,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
America’s car crash epidemic,"Cars are killing us, and it's gotten even worse during the pandemic.",,Vox,d:2021-09,https://www.vox.com/22675358/us-car-deaths-year-traffic-covid-pandemic,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Spiritual Bankruptcy of Bottled Water,A comic reported by me and illustrated by Christine Mi on how bottled water redefined our relationship with a natural resource.,,Vox,d:2021-07,https://www.vox.com/the-goods/2021/7/12/22554546/bottled-water-michigan-waste-flint-plastic,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
A Graceful Place Where Bhangra and Bollywood Meet,On the magnificent dancer Manpreet Toor and how the internet is transforming Punjabi diaspora dance.,,New York Times,d:2021-06,https://www.nytimes.com/2021/06/25/arts/dance/manpreet-toor-bhangra.html,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
The Year of the Wedding After-Party,On the art of planning a belated reception when you got married in the pandemic age.,,New York Times,d:2021-03,https://www.nytimes.com/2021/03/30/style/wedding-after-parties.html,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Curator of American Culture,"A profile of the delightful Radhika Jones, Vanity Fair editor-in-chief.",,Harvard Magazine,d:2021-03,https://harvardmagazine.com/2021/03/alumni-radhika-jones,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,in which a German-American scholar discovers that his grandfather was a Nazi.,"Martin Puchner’s *The Language of Thieves*,",Harvard Magazine,d:2020-11,https://harvardmagazine.com/2020/11/montage-family-history,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
The Watchdog,"A profile of Bharat Ramamurti, the guy in charge of overseeing $500 billion in CARES Act stimulus money and a former adviser to Elizabeth Warren.",,Harvard Magazine,d:2020-09,https://harvardmagazine.com/2020/09/alumni-bharat-ramamurti,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
From Lews & Clark to Michael Brown,"A profile of Walter Johnson and his radical history of my home city, St. Louis.",,Harvard Magazine,d:2020-05,https://harvardmagazine.com/2020/05/feature-walter-johnson,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"As the World Burns, Americans Buy Bigger Cars",On the rise of SUVs.,,Vox,d:2020-03,https://www.vox.com/the-goods/2020/3/11/21152975/crossover-utility-vehicle-honda-cr-v-suv,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
History from Below,"A profile of Vince Brown, a historian who will change the way you think about war, slavery, and anti-Black militarism.",,Harvard Magazine,d:2020-03,https://www.harvardmagazine.com/2020/03/feature-history-from-below,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
What Vegans With PCOS Actually Need to Know,"On the extremely common but little understood hormonal disorder PCOS, and how to be vegan when you have it.",,Tenderly,d:2020-02,https://medium.com/tenderlymag/what-vegans-with-pcos-actually-need-to-know-about-food-251388c66728,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,and encountering factory farming in literature.,Jean-Baptiste Del Amo's *Animalia*,Pittsburgh Post-Gazette,d:2020-02,https://www.post-gazette.com/ae/books/2020/02/09/Animalia-Jean-Baptiste-Del-Amo-factory-farms/stories/201911030003,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Animal Liberation Needs Animal Voices,A review of a new book on the political agency of animals.,,Tenderly,d:2019-12,https://medium.com/tenderlymag/animal-liberation-needs-animal-voices-eef6973ba777,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
,and how factory farming has remade life on Earth.,Jonathan Safran Foer's *We Are the Weather*,Pittsburgh Post-Gazette,d:2019-11,https://www.post-gazette.com/ae/books/2019/11/17/Jonathan-Safran-Foer-We-Are-the-Weather-Saving-Planet-Begins-at-Breakfast/stories/201911170009,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
,,the extraordinary intelligence of crows.,Harvard Magazine,d:2019-08,https://www.harvardmagazine.com/2019/08/crows-know-how-to-have-fun,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"As Russian Jews, We Are Characters in Someone Else’s Story","An essay about secrecy, class, and the Soviet Jewish experience.",,The Forward,d:2019-07,https://forward.com/life/428342/as-russian-jews-we-are-characters-in-someone-elses-story/,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
The Trilemma,A profile of economist Dani Rodrik and his field’s reckoning with free-market orthodoxy.,,Harvard Magazine,d:2019-07,https://harvardmagazine.com/2019/07/rodrik-trilemma-trade-globalization,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,the joy of baby turkey season in Cambridge.,Harvard Magazine,d:2019-06,https://harvardmagazine.com/2019/06/baby-turkey-season-comes-to-harvard,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,,the Harvard Map Collection and the uses of maps.,Harvard Magazine,d:2018-08,https://www.harvardmagazine.com/2018/08/map-collection-at-200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,a new history of the women's suffrage movement.,"Susan Ware’s *Why they Marched*,",Harvard Magazine,d:2018-05,https://www.harvardmagazine.com/2019/05/suffrage-movement-activism,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
,"a new book about kibbutzim, and the kinds of arguments economists make.","the myth of the egalitarian kibbutz,",The Forward,d:2018-04,https://forward.com/culture/books/398746/why-the-idea-of-an-egalitarian-kibbutz-was-always-a-myth/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Sex and Due Process on Campus,"An essay on Title IX sexual assault guidelines, radical feminism, and due process.",,Current Affairs,d:2018-01,https://www.currentaffairs.org/news/2018/01/sex-and-due-process-on-campus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,and what’s wrong with Jewish-American literature.,Dara Horn’s *Eternal Life*,Harvard Magazine,d:2018-01,https://harvardmagazine.com/2018/01/dara-horn-eternal-life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
,and the kinds of arguments linguists make.,"*The Story of Hebrew*,",The Forward,d:2017-08,https://forward.com/culture/378315/how-hebrew-has-managed-to-survive/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
,,the unfortunate Netflix series *Friends from College*.,Harvard Magazine,d:2017-07,https://www.harvardmagazine.com/2017/07/friends-from-college-netflix,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,,the work of Bengali-British novelist Tahmima Anam.,Harvard Magazine,d:2017-07,https://harvardmagazine.com/2017/07/a-postmodern-youth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
A Language Out of Nothing,A profile of linguist Kate Davidson and some of the questions that preoccupy people in her field.,,Harvard Magazine,d:2017-05,https://www.harvardmagazine.com/2017/04/a-language-out-of-nothing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
The Purpose of Harvard Law School,An essay on the clash between Harvard Law School’s public service ethos and its corporate law reality.,,Harvard Magazine,d:2016-08,https://www.harvardmagazine.com/2016/08/the-purpose-of-harvard-law-school,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ProMedica has a medical, moral duty to keep city's only abortion clinic open","This is a throwback — an column in the Toledo Blade urging Ohio hospital system ProMedica to prevent Toledo's last abortion provider from shutting down. A few years later, the pro-choice advocates won!",,The Toledo Blade,d:2015-08,https://www.toledoblade.com/Marina-Bolotnikova/2015/08/02/ProMedica-has-medical-moral-duty-to-keep-city-s-only-abortion-clinic-open.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE